name_of_settlements,id,Foundation_year
אבו ג'ווייעד (שבט),967,
אבו גוש,472,
אבו סנאן,473,
אבו סריחאן (שבט),935,
אבו עבדון (שבט),958,
אבו עמאר (שבט),1042,
אבו עמרה (שבט),932,
אבו קורינאת (יישוב),1342,
אבו קורינאת (שבט),968,
אבו רובייעה (שבט),966,
אבו רוקייק (שבט),961,
אבו תלול,1375,
אבטין,652,
אבטליון,1275,1987
אביאל,679,1949
אביבים,1115,1960
אביגדור,819,1950
אביחיל,175,1932
אביטל,2052,1953
אביעזר,1070,1958
אבירים,1220,1980
אבן יהודה,182,1932
אבן מנחם,1081,1960
אבן ספיר,783,1950
אבן שמואל,400,1956
אבני איתן,4011,1978
אבני חפץ,3793,1990
אבנת,3786,1983
אבשלום,1311,1990
אדורה,3759,1984
אדירים,113,1956
אדמית,1068,1958
אדרת,1123,1961
אודים,446,1948
אודם,4010,1976
אוהד,1046,1969
אום אל-פחם,2710,
אום אל-קוטוף,2024,
אום בטין,1358,
אומן,1108,1958
אומץ,680,1949
אופקים,31,1955
אור הגנוז,1294,1989
אור הנר,67,1957
אור יהודה,2400,1950
אור עקיבא,1020,1951
אורה,780,1950
אורון,1771,
אורות,2012,1952
אורטל,4013,1978
אורים,403,1946
אורנים,882,1951
אורנית,3760,1985
אושה,278,1937
אזור,565,1948
"אזור אילון מ""א 4",1852,
"אזור אילון מ""א 52",1851,
"אזור אילון של""ש",1853,
"אזור אשדוד מ""א 29",1922,
"אזור אשדוד מ""א 33",1921,
"אזור אשדוד של""ש",1923,
"אזור אשקלון מ""א 36",1924,
"אזור אשקלון מ""א 37",1926,
"אזור באר שבע מ""א 41",1937,
"אזור באר שבע מ""א 51",1938,
"אזור באר שבע של""ש",1939,
"אזור בשור מ""א 38",1933,
"אזור בשור מ""א 39",1935,
"אזור בשור מ""א 42",1934,
"אזור גלילות מ""א 19",1907,
"אזור גרר מ""א 39",1931,
"אזור גרר מ""א 41",1929,
"אזור גרר מ""א 42",1930,
"אזור זכרון יעקב מ""א 15",1866,
"אזור זכרון יעקב של""ש",1867,
"אזור חדרה מ""א 14",1873,
"אזור חדרה מ""א 15",1872,
"אזור חדרה מ""א 45",1871,
"אזור חדרה של""ש",1874,
"אזור חולון של""ש",1909,
"אזור חיפה מ""א 12",1860,
"אזור חיפה של""ש",1862,
"אזור חצור מ""א 1",1813,
"אזור חצור מ""א 55",1814,
"אזור חצור של""ש",1815,
"אזור יחיעם מ""א 2",1848,
"אזור יחיעם מ""א 4",1846,
"אזור יחיעם מ""א 52",1847,
"אזור יחיעם מ""א 56",1849,
"אזור יחיעם של""ש",1850,
"אזור ים המלח מ""א 51",1942,
"אזור יקנעם מ""א 13",1836,
"אזור יקנעם מ""א 9",1835,
"אזור כינרות מ""א 3",1805,
"אזור כנרות מ""א 1",1816,
"אזור כנרות מ""א 6",1817,
"אזור כנרות של""ש",1818,
"אזור כרמיאל מ""א 2",1843,
"אזור כרמיאל מ""א 56",1844,
"אזור כרמיאל של""ש",1845,
"אזור לכיש מ""א 34",1919,
"אזור לכיש מ""א 35",1917,
"אזור לכיש מ""א 41",1920,
"אזור לכיש מ""א 50",1918,
"אזור מודיעין מ""א 25",1887,
"אזור מודיעין מ""א 30",1890,
"אזור מודיעין של""ש",1895,
"אזור מלאכי מ""א 33",1911,
"אזור מלאכי מ""א 34",1915,
"אזור מלאכי מ""א 35",1913,
"אזור מלאכי מ""א 50",1914,
"אזור נהרייה מ""א 4",1855,
"אזור נהרייה של""ש",1856,
"אזור עכו מ""א 4",1858,
"אזור עכו מ""א 56",1857,
"אזור עכו של""ש",1859,
"אזור פתח תקווה מ""א 20",1888,
"אזור פתח תקווה מ""א 25",1886,
"אזור פתח תקווה של""ש",1889,
"אזור ראשל""צ מ""א 27",1903,
"אזור ראשל""צ של""ש",1904,
"אזור רחובות מ""א 28",1896,
"אזור רחובות מ""א 29",1899,
"אזור רחובות מ""א 30",1898,
"אזור רחובות מ""א 31",1901,
"אזור רחובות מ""א 32",1897,
"אזור רחובות של""ש",1902,
"אזור רמלה מ""א 25",1892,
"אזור רמלה מ""א 30",1891,
"אזור רמלה מ""א 40",1893,
"אזור רמלה של""ש",1894,
"אזור רמת גן של""ש",1908,
"אזור שפרעם מ""א 56",1841,
"אזור שפרעם מ""א 9",1840,
"אזור שפרעם של""ש",1842,
"אזור תל אביב של""ש",1905,
אזור תעסוקה משגב(תרדיון),1724,
"אזור תעשיה אכסאל מ""א 9",1865,
אזור תעשייה אכזיב (מילואות),1726,
אזור תעשייה נעמן (מילואות),1727,
אחווה,1157,1976
אחוזם,821,1950
אחוזת ברק,1330,1998
אחיהוד,785,1950
אחיטוב,850,1951
אחיסמך,804,1950
אחיעזר,797,1950
אטרש (שבט),965,
איבים,338,1991
אייל,716,1949
איילת השחר,77,1918
אילון,294,1938
אילון תבור*,1716,
אילות,1126,1962
אילנייה,49,1902
אילת,2600,1951
אירוס,1336,2013
איתמר,3762,1984
איתן,37,1955
איתנים,886,1952
אכסאל,478,
אל -עזי,1339,
אל -עריאן,1316,
אל -רום,4003,1971
אל סייד,1359,
אלומה,1145,1965
אלומות,330,1941
אלון הגליל,1182,1980
אלון מורה,3579,1979
אלון שבות,3604,1970
אלוני אבא,429,1948
אלוני הבשן,4017,1981
אלוני יצחק,868,1949
אלונים,285,1938
אלי-עד,4002,1968
אליאב,1365,2013
אליכין,41,1950
אליפז,1248,1982
אליפלט,730,1949
אליקים,682,1949
אלישיב,204,1933
אלישמע,841,1951
אלמגור,1125,1961
אלמוג,3556,1977
אלעד,1309,1998
אלעזר,3618,1975
אלפי מנשה,3750,1983
אלקוש,603,1949
אלקנה,3560,1977
אמונים,772,1950
אמירים,1064,1950
אמנון,1253,1983
אמציה,23,1955
אניעם,4012,1978
אסד (שבט),960,
אספר,3754,1983
אעבלין,529,
אעצם (שבט),963,
אפיניש (שבט),959,
אפיק,4301,1967
אפיקים,176,1932
אפק,313,1939
אפרת,3650,1980
ארבל,701,1949
ארגמן,3598,1968
ארז,714,1949
אריאל,3570,1978
ארסוף,1324,1995
אשבול,71,1955
אשבל,1276,1979
אשדוד,70,1955
אשדות יעקב (איחוד),199,1933
אשדות יעקב (מאוחד),188,1933
אשחר,1188,1986
אשכולות,3722,1982
אשל הנשיא,2021,1952
אשלים,1152,1976
אשקלון,7100,1948
אשרת,1256,1983
אשתאול,740,1949
באקה אל-גרביה,6000,
באר אורה,21,1950
באר גנים,1376,2012
באר טוביה,155,1930
באר יעקב,2530,1907
באר מילכה,1278,2006
באר שבע,9000,1948
בארות יצחק,450,1948
בארותיים,697,1949
בארי,399,1946
בוסתן הגליל,559,1948
בועיינה-נוג'ידאת,482,
בוקעאתא,4001,
בורגתה,698,1949
בחן,2043,1953
בטחה,762,1950
"בי""ס אזורי מקיף (אשר)",1725,
ביצרון,234,1935
ביר אל-מכסור,998,
ביר הדאג',1348,
בירייה,368,1945
בית אורן,317,1939
בית אל,3574,1977
בית אלעזרי,562,1948
בית אלפא,95,1922
בית אריה-עופרים,3652,1981
בית ברל,1076,1947
בית ג'ן,480,
בית גוברין,619,1949
בית גמליאל,571,1949
בית דגן,466,1948
בית הגדי,723,1949
בית הלוי,373,1945
בית הלל,322,1940
בית העמק,572,1949
בית הערבה,3645,1980
בית השיטה,242,1935
בית זיד,353,1943
בית זית,710,1949
בית זרע,143,1926
בית חולים פוריה,1712,
בית חורון,3575,1977
בית חירות,877,1933
בית חלקיה,2033,1953
בית חנן,159,1930
בית חנניה,800,1950
בית חשמונאי,1050,1972
בית יהושע,288,1938
בית יוסף,265,1937
בית ינאי,200,1933
בית יצחק-שער חפר,326,1940
בית לחם הגלילית,430,1948
בית מאיר,751,1950
בית נחמיה,784,1950
בית ניר,16,1955
בית נקופה,672,1949
בית עובד,202,1933
בית עוזיאל,301,1956
בית עזרא,756,1950
בית עריף,604,1951
בית צבי,212,1953
בית קמה,598,1949
בית קשת,365,1944
בית רבן,848,1946
בית רימון,1162,1977
בית שאן,9200,1948
בית שמש,2610,1950
בית שערים,248,1936
בית שקמה,747,1950
ביתן אהרן,252,1936
ביתר עילית,3780,1985
בלפוריה,94,1922
בן זכאי,760,1950
בן עמי,712,1949
בן שמן (כפר נוער),1084,1921
בן שמן (מושב),2013,1952
בני ברק,6100,1924
בני דקלים,1368,2009
בני דרום,592,1949
בני דרור,386,1946
בני יהודה,4015,1972
בני נצרים,1363,2010
בני עטרות,448,1948
"בני עי""ש",1066,1958
בני ציון,418,1947
בני ראם,588,1949
בניה,685,1949
בנימינה-גבעת עדה*,9800,1903
"בסמ""ה",1326,
בסמת טבעון,944,
בענה,483,
בצרה,389,1946
בצת,589,1949
בקוע,864,1951
בקעות,3612,1972
"בקעת נטופה מ""א 56",1854,
"בקעת תירען מ""א 3",1884,
בר-לב,1728,
בר גיורא,823,1950
בר יוחאי,1191,1979
ברוכין,3744,2012
ברור חיל,428,1948
ברוש,2060,1953
ברכה,3710,1983
ברכיה,746,1950
ברעם,667,1949
ברק,141,1956
ברקאי,617,1949
ברקן,3654,1981
ברקת,2038,1952
בת הדר,1323,1995
בת חן,1361,1967
בת חפר,1319,1996
בת ים,6200,1926
בת עין,3794,1989
בת שלמה,33,1889
בתי זיקוק - קישון,1736,
ג'דיידה-מכר,1292,
ג'ולס,485,
ג'לג'וליה,627,
ג'נאביב (שבט),976,
ג'סר א-זרקא,541,
ג'ש (גוש חלב),487,
ג'ת,628,
גאולי תימן,872,1947
גאולים,379,1945
"גאון הירדן מ""א 3",1963,
גאליה,853,1948
גבולות,352,1943
גבים,424,1947
גבע,86,1921
גבע בנימין,3763,1984
גבע כרמל,683,1949
גבעולים,2014,1952
גבעון החדשה,3644,1980
גבעות בר,1344,2004
גבעת אבני,1293,1991
גבעת אלה,1288,1988
גבעת ברנר,147,1928
גבעת השלושה,870,1925
גבעת זאב,3730,1983
"גבעת ח""ן",207,1933
גבעת חביבה,1740,
גבעת חיים (איחוד),2018,1932
גבעת חיים (מאוחד),173,1932
גבעת יואב,4021,1968
גבעת יערים,787,1950
גבעת ישעיהו,919,1958
"גבעת כ""ח",802,1950
"גבעת ניל""י",360,1953
גבעת עוז,703,1949
גבעת שמואל,681,1942
גבעת שמש,566,1954
גבעת שפירא,1077,1958
גבעתי,793,1950
גבעתיים,6300,1922
גברעם,342,1942
גבת,133,1926
גדות,35,1949
גדיש,145,1956
גדעונה,442,1949
גדרה,2550,1884
"גולן דרומי מ""א 71",1966,
"גולן צפוני מ""א 71",1962,
"גולן תיכון מ""א 71",1964,
גונן,852,1951
גורן,755,1950
גורנות הגליל,1219,1980
גזית,457,1948
גזר,370,1945
גיאה,706,1949
גיבתון,196,1933
גיזו,1043,1968
גילון,1204,1980
גילת,736,1949
גינוסר,262,1937
גיניגר,92,1922
גינתון,863,1949
גיתה,1206,1980
גיתית,3613,1973
גלאון,393,1946
גלגל,3606,1970
גליל ים,346,1943
"גליל עליון מז מ""א 1",1809,
"גליל עליון מז מ""א 2",1811,
"גליל עליון מז מ""א 55",1810,
"גליל עליון מז של""ש",1812,
"גליל תחתון מז מ""א 2",1820,
"גליל תחתון מז מ""א 3",1819,
"גליל תחתון מז מ""א 6",1821,
"גליל תחתון מז של""ש",1822,
גלעד (אבן יצחק),369,1945
"גמ""ל מחוז דרום",1997,
גמזו,745,1950
גן הדרום,1072,1953
גן השומרון,225,1934
גן חיים,239,1935
גן יאשיה,734,1949
גן יבנה,166,1931
גן נר,1274,1987
גן שורק,311,1950
גן שלמה,144,1927
גן שמואל,72,1913
גנות,836,1953
גנות הדר,549,1964
גני הדר,1103,1958
גני טל,1371,2010
גני יוחנן,862,1950
גני מודיעין,3823,1996
גני עם,218,1934
גני תקווה,229,1953
געש,842,1951
געתון,463,1948
גפן,39,1955
גרופית,1129,1963
גשור,4022,1971
גשר,305,1939
גשר הזיו,574,1949
גת (קיבוץ),340,1941
גת רימון,128,1926
דאלית אל-כרמל,494,
דבורה,146,1956
דבורייה,489,
דבירה,849,1951
דברת,407,1946
דגניה א',62,1909
דגניה ב',79,1920
"דוב""ב",1067,1963
דולב,3747,1983
דור,738,1949
דורות,336,1941
דחי,475,
דייר אל-אסד,490,
דייר חנא,492,
דייר ראפאת,493,
דימונה,2200,1955
דישון,2063,1953
דלייה,300,1939
דלתון,431,1950
דמיידה,1317,
דן,303,1939
דפנה,302,1939
דקל,1241,1982
"דרום השרון מ""א 18",1881,
"דרום השרון מ""א 20",1882,
"דרום השרון של""ש",1885,
דרום יהודה,1998,
דריג'את,1349,
האון,702,1949
הבונים,675,1949
הגושרים,356,1948
הדר עם,191,1933
הוד השרון,9700,1924
הודיות,1322,1959
הודייה,726,1949
הוואשלה (שבט),1169,
הוזייל (שבט),956,
הושעיה,1186,1981
הזורע,250,1936
הזורעים,307,1939
החותרים,434,1948
היוגב,684,1949
הילה,1208,1980
המעפיל,377,1945
המרכז למחקר-נחל שורק,1751,
הסוללים,677,1949
העוגן,423,1947
"הערבה מ""א 51",1944,
"הערבה מ""א 53",1945,
"הערבה מ""א 54",1946,
הר אדר,3769,1986
"הר אלכסנדר מ""א 14",1869,
"הר אלכסנדר מ""א 45",1868,
"הר אלכסנדר של""ש",1870,
הר גילה,3603,1972
"הר הנגב הדרומי מ""א 48",1953,
"הר הנגב הדרומי מ""א 53",1951,
"הר הנגב הדרומי מ""א 54",1952,
"הר הנגב הצפוני מ""א 48",1948,
"הר הנגב הצפוני מ""א 51",1949,
"הר הנגב הצפוני מ""א 53",1947,
"הר הנגב הצפוני מ""א 54",1950,
הר עמשא,1261,1983
הראל,464,1948
הרדוף,1249,1982
"הרי יהודה מ""א 26",1801,
"הרי יהודה של""ש",1802,
הרי נצרת-תירען,1823,
"הרי נצרת-תירען מ""א 9",1839,
הרצלייה,6400,1924
הררית,1203,1980
השומרון,1999,
ורד יריחו,3639,1980
ורדון,1133,1968
זבארגה (שבט),2742,
זבדיאל,815,1950
זוהר,44,1956
זיקים,584,1949
זיתן,788,1950
זכרון יעקב,9300,1882
זכריה,799,1950
זמר,1290,
זמרת,1065,1957
זנוח,816,1950
זרועה,2064,1953
זרזיר,975,
זרחיה,818,1950
ח'ואלד,1321,
ח'ואלד (שבט),986,
חבצלת השרון,235,1935
חבר,1110,1958
חגור,717,1949
חגי,3764,1984
חגלה,205,1933
חד-נס,4026,1989
חדיד,618,1950
חדרה,6500,1890
חוג'ייראת (ד'הרה) (שבט),948,
חולדה,160,1930
חולון,6600,1940
חולית,1239,1980
חולתה,253,1937
חוסן,662,1949
חוסנייה,1332,
"חוף הכרמל מ""א 15",1864,
חופית,115,1955
חוקוק,374,1945
חורה,1303,
חורפיש,496,
חורשים,355,1955
חזון,1047,1969
חיבת ציון,219,1933
חיננית,3643,1981
חיפה,4000,ותיק
חירות,162,1930
חלוץ,1272,1985
חלץ,820,1950
"חמ""ד",801,1950
חמאם,993,
חמדיה,343,1942
חמדת,3646,1980
חמרה,3609,1971
חניאל,807,1950
חניתה,280,1938
חנתון,1257,1984
חספין,4005,1973
חפץ חיים,363,1944
חפצי-בה,90,1922
חצב,700,1949
חצבה,13,1965
חצור-אשדוד,406,1937
חצור הגלילית,2034,1953
חצרים,397,1946
חרב לאת,422,1947
חרוצים,1024,1951
חריש,1247,1982
"חרמון מ""א 71",1960,
חרמש,3717,1982
חרשים,1209,1980
חשמונאים,3770,1985
טבריה,6700,ותיק
טובא-זנגרייה,962,
טורעאן,498,
טייבה,2730,
טייבה (בעמק),497,
טירה,2720,
טירת יהודה,663,1949
טירת כרמל,2100,1949
טירת צבי,268,1937
טל-אל,1181,1980
טל שחר,462,1948
טללים,1177,1980
טלמון,3788,1989
טמרה,8900,
טמרה (יזרעאל),547,
טנא,3743,1983
טפחות,1214,1980
יאנוח-ג'ת,1295,
יבול,1232,1981
יבנאל,46,1901
יבנה,2660,1949
יגור,96,1922
יגל,798,1950
יד בנימין,577,1949
יד השמונה,1134,1978
יד חנה,758,1950
יד מרדכי,358,1943
יד נתן,775,1953
"יד רמב""ם",64,1955
ידידה,1144,1964
יהוד-מונוסון,9400,1948
יהל,1158,1976
יובל,2009,1952
יובלים,1226,1982
יודפת,1112,1960
יונתן,4007,1976
יושיביה,803,1950
יזרעאל,452,1948
יחיעם,409,1946
יטבתה,866,1951
"ייט""ב",3607,1970
יכיני,811,1950
ים המלח - בתי מלון,1772,
ינוב,753,1950
ינון,2011,1952
יסוד המעלה,29,1883
יסודות,440,1948
יסעור,575,1949
יעד,1138,1975
יעל,1117,
יעף,1044,1968
יערה,795,1950
"יערות גבעת המורה מ""א 9",1863,
יפיע,499,
יפית,3566,1980
יפעת,134,1926
יפתח,453,1948
יצהר,3749,1983
יציץ,759,1950
יקום,417,1947
יקיר,3647,1981
יקנעם (מושבה),241,1935
יקנעם עילית,240,1950
יראון,623,1949
ירדנה,2026,1952
ירוחם,831,1951
ירושלים,3000,ותיק
ירחיב,718,1949
ירכא,502,
ירקונה,183,1932
ישע,916,1957
ישעי,805,1950
ישרש,828,1950
יתד,1227,1981
כאבול,504,
כאוכב אבו אל-היג'א,505,
כברי,576,1949
כדורי,371,1931
כדיתה,1338,2009
כוכב השחר,3564,1977
כוכב יאיר,1224,1981
כוכב יעקב,3779,1985
כוכב מיכאל,824,1950
כורזים,1252,1983
כחל,1210,1980
כחלה,1367,
כיסופים,840,1951
כישור,1153,1976
כליל,1183,1979
כלנית,1229,1981
כמאנה,1331,
כמהין,1291,1988
כמון,1201,1980
כנות,2006,1952
כנף,4028,1991
כנרת (מושבה),63,1909
כנרת (קבוצה),57,1908
כסיפה,1059,
כסלון,859,1952
כסרא-סמיע,1296,
כעביה-טבאש-חג'אג'רה,978,
כפר אביב,857,1951
כפר אדומים,3638,1979
כפר אוריה,364,1944
כפר אחים,690,1949
כפר ביאליק,220,1934
"כפר ביל""ו",177,1932
כפר בלום,357,1943
כפר בן נון,2010,1952
כפר ברא,633,
כפר ברוך,132,1926
כפר גדעון,106,1923
כפר גלים,427,1952
כפר גליקסון,310,1939
כפר גלעדי,76,1916
כפר דניאל,707,1949
כפר האורנים,3796,1998
כפר החורש,192,1933
כפר המכבי,254,1936
כפר הנגיד,582,1949
כפר הנוער הדתי,890,1937
כפר הנשיא,443,1948
כפר הס,187,1933
"כפר הרא""ה",217,1934
"כפר הרי""ף",888,1956
כפר ויתקין,190,1933
כפר ורבורג,320,1939
כפר ורדים,1263,1984
כפר זוהרים,1325,1995
כפר זיתים,786,1950
"כפר חב""ד",696,1949
כפר חושן,609,1949
כפר חיטים,255,1936
כפר חיים,193,1933
כפר חנניה,1297,1990
כפר חסידים א',112,1924
כפר חסידים ב',889,1950
כפר חרוב,4004,1974
כפר טרומן,673,1949
